City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,leiston,52.2061,1.5776,12.4,97,78,6.2,GB,1712616577
332,pandan,14.0453,124.1694,26.54,87,64,3.22,PH,1712616577
333,kerouane,9.2667,-9.0167,26.6,68,88,1.97,GN,1712616577
334,vorozhba,51.1733,34.2192,13.88,72,100,2.39,UA,1712616577
335,san andres,12.5847,-81.7006,30.01,74,40,7.2,CO,1712616577
336,sandpoint,48.2766,-116.5533,10.47,63,100,3.6,US,1712616295
337,klaksvik,62.2266,-6.589,6.51,92,100,5.56,FO,1712616578
338,sao joao dos inhamuns,-6.0,-40.2833,23.76,87,68,2.91,BR,1712616578
339,mangrol,21.1167,70.1167,25.25,80,0,5.44,IN,1712616578
340,zhanaozen,43.3,52.8,11.81,55,57,3.74,KZ,1712616578
341,willmar,45.1219,-95.0433,7.23,81,100,4.12,US,1712616578
342,lompoc,34.6391,-120.4579,23.16,63,0,7.2,US,1712616457
343,yaprakli,40.7579,33.7782,6.94,72,39,2.74,TR,1712616578
344,benguela,-12.5763,13.4055,25.53,89,100,1.59,AO,1712616578
345,brockport,43.2137,-77.9392,16.04,66,99,1.95,US,1712616578
346,thunder bay,48.4001,-89.3168,3.99,93,100,4.12,CA,1712616381
347,kyabe,9.4515,18.9449,31.77,36,94,1.35,TD,1712616579
348,bardai,11.65,7.2333,29.2,12,99,3.12,NG,1712616579
349,leninsk-kuznetsky,54.6567,86.1737,5.03,91,91,3.13,RU,1712616579
350,douvres-la-delivrande,49.2947,-0.3804,10.77,71,100,7.72,FR,1712616579
351,cabo san lucas,22.8909,-109.9124,26.45,50,75,5.66,MX,1712616579
352,jianshui,23.6363,102.8264,17.85,76,0,1.53,CN,1712616579
353,bandon,51.7469,-8.7425,6.77,78,100,9.92,IE,1712616579
354,puerto colombia,10.9878,-74.9547,30.05,86,94,9.44,CO,1712616579
355,andergrove,-21.0833,149.1833,27.03,68,1,2.01,AU,1712616579
356,tobelo,1.7284,128.0095,27.03,82,50,2.01,ID,1712616579
357,poxoreo,-15.8372,-54.3892,26.78,86,100,1.15,BR,1712616448
358,am timan,11.0297,20.2827,32.92,32,92,0.79,TD,1712616580
